,amount_tsh,gps_height,longitude,latitude,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,quality_group,quantity,source_type,waterpoint_type_group,status_group
38,4000.0,1955,35.89026429,-8.22439872,6,3,100,1,7,1,3,0,4,0,2,1,4,1,3
39,0.0,1348,30.6133054,-3.89456056,3,5,230,1,7,0,3,1,4,6,2,3,5,3,1
40,25.0,710,37.42002692,-3.47684942,5,6,50,1,10,1,3,5,4,5,2,1,0,1,3
41,500.0,2469,33.92790176,-9.20464923,1,3,0,1,7,0,2,0,4,3,2,1,6,1,3
42,500.0,1803,34.81457364,-9.03250291,6,3,250,1,9,1,4,0,4,1,2,1,6,1,3
44,20.0,1007,36.80607857,-3.47855934,5,0,100,1,7,1,3,0,4,5,2,2,6,1,2
45,0.0,0,33.34526033,-3.83899753,0,17,0,1,9,1,5,6,4,3,2,1,0,1,1
46,20.0,240,39.08741514,-11.00060373,7,12,30,1,7,1,3,0,4,5,2,1,6,1,2
48,4000.0,1982,35.87141325,-8.22756303,6,3,70,1,7,1,3,0,4,0,2,1,6,1,3
49,1500.0,2169,34.44128349,-9.18987766,6,3,20,1,7,1,3,0,4,0,2,1,6,1,3
50,20.0,783,37.37285829,-3.34929238,5,6,10,1,11,1,3,0,0,5,2,2,6,1,3
51,0.0,1545,32.04683486,-8.57166114,2,15,200,1,7,1,1,0,4,2,2,0,4,1,1
52,0.0,0,33.95816322,-9.44812238,1,10,0,1,7,1,5,0,4,2,2,1,6,1,3
53,0.0,0,0.0,-2e-08,4,13,0,1,7,1,5,5,4,6,5,0,0,1,1
55,20.0,766,37.34816881,-3.35653763,5,6,1,1,11,1,3,0,0,5,2,2,6,1,1
56,6.0,962,37.47943592,-3.36819761,5,6,45,1,10,1,3,0,4,5,2,1,6,1,3
57,0.0,1583,36.72112734,-3.33981163,5,0,150,1,7,1,3,0,4,2,2,1,6,1,1
59,0.0,0,31.45428168,-1.56388609,4,4,0,1,7,1,5,1,4,2,2,1,5,3,2
60,0.0,190,38.78943655,-5.11324963,5,20,200,1,7,0,5,0,4,2,2,3,6,1,3
61,0.0,1670,38.37667127,-4.647289499999999,5,20,1,1,7,1,5,3,4,2,2,1,5,5,1
62,500.0,954,29.66972029,-4.77975837,3,5,567,1,7,1,2,0,4,1,2,1,4,1,2
63,0.0,1365,36.94745079,-3.35002587,5,0,130,1,7,1,3,0,4,6,2,2,4,1,1
64,0.0,1538,34.76272634,-4.30776106,0,18,225,1,9,1,3,1,4,2,2,1,0,3,3
66,0.0,1788,34.89725735,-9.203522099999999,6,3,50,1,4,1,4,4,0,2,2,1,0,3,3
67,0.0,0,30.71609028,-1.2857798,4,4,0,1,9,1,5,0,4,2,2,0,6,5,1
68,0.0,1366,34.55789311,-8.88959406,6,3,54,1,8,1,1,0,4,3,2,0,4,1,1
69,0.0,1694,29.76800862,-4.47180947,3,5,1,1,11,0,3,3,0,2,2,0,3,1,1
71,0.0,0,34.46222769,-8.57578037,6,10,0,1,7,0,5,0,4,2,2,2,4,1,1
72,0.0,0,34.24718,-8.60751263,6,10,0,1,7,1,5,0,4,2,2,3,4,1,1
74,500.0,1153,30.41995839,-4.27996794,3,5,1,1,11,0,3,1,4,3,2,1,5,3,3
75,0.0,0,31.79687285,-1.35148627,4,4,0,1,7,0,5,5,4,2,2,2,0,1,1
76,500.0,2049,34.68047144,-9.3264772,6,3,75,1,8,1,3,0,4,1,2,1,6,1,3
77,0.0,905,36.93165941,-3.55703413,5,0,140,1,7,1,1,0,4,6,2,2,6,1,3
78,0.0,406,38.58082367,-4.8348356,5,20,900,1,7,0,5,0,4,2,2,0,4,1,1
79,0.0,0,32.25500494,-3.36190077,3,17,0,1,7,1,5,1,4,6,2,2,5,3,3
80,0.0,2328,34.28447604,-9.27156548,1,3,0,1,7,0,3,0,4,2,2,1,6,1,3
81,0.0,427,37.72295310000001,-7.02426273,8,11,100,1,7,1,3,0,4,2,2,1,4,1,2
82,0.0,1331,36.75793224,-3.3747906000000003,5,0,360,1,8,1,4,0,4,6,2,1,6,1,3
83,0.0,0,33.53890869,-3.36161167,0,17,0,1,9,0,5,1,4,3,2,2,5,3,3
85,0.0,0,32.18551701,-2.37877187,4,13,0,1,7,1,5,1,4,2,2,3,5,3,1
86,500.0,1701,35.73447433,-7.91231657,6,3,441,1,7,1,3,1,4,1,2,1,0,3,3
88,50.0,159,38.35356668,-6.63869562,8,14,20,0,8,1,3,5,0,5,2,1,4,1,1
89,0.0,0,35.87817211,-5.89186837,8,2,0,1,7,0,5,2,4,5,2,2,0,1,2
90,200.0,1002,29.67098869,-4.7268495999999995,3,5,120,1,9,1,3,0,4,1,2,1,4,1,2
91,0.0,212,38.96294513,-10.47656619,7,7,280,1,7,1,3,1,4,2,4,1,0,3,1
92,200.0,18,38.89040167,-6.55790327,8,14,40,1,0,1,2,5,4,1,2,1,4,1,1
93,0.0,1560,35.51217404,-4.44803987,0,8,221,1,7,1,3,0,4,2,2,2,6,1,3
94,0.0,0,31.45311103,-1.19438963,4,4,0,1,7,1,5,1,4,2,3,2,5,3,1
95,250.0,1471,30.21673046,-4.34106206,3,5,950,1,11,1,3,0,4,1,2,1,1,1,3
96,500.0,1274,30.12668109,-4.23637808,3,5,1430,1,11,0,1,5,4,4,2,1,0,1,1
97,0.0,0,33.0795039,-3.00965923,4,13,0,0,4,1,5,5,0,5,5,1,0,1,3
98,0.0,1000,35.54217277,-10.80885305,7,16,0,1,7,1,1,0,4,3,2,1,4,1,2
99,0.0,0,33.23583842,-3.56601953,0,17,0,0,7,0,5,2,4,2,2,1,1,1,1
100,0.0,98,39.04298326,-4.99423737,5,20,110,1,7,1,0,3,4,2,2,0,5,5,1
101,0.0,1128,34.56343795,-4.09374985,0,18,256,1,9,1,4,1,4,2,2,1,0,3,3
102,0.0,1352,30.65026741,-3.55486258,3,5,150,1,7,0,3,0,4,6,2,2,6,4,3
103,50.0,701,36.95075936,-11.31324316,7,16,1,1,7,0,4,5,4,5,2,1,0,1,2
104,10.0,1409,37.17489041,-3.21646394,5,6,75,1,10,1,5,0,4,5,2,1,6,1,3
105,1000.0,744,37.61640658,-3.56996907,5,6,320,1,7,1,4,0,4,1,2,1,6,1,3
106,0.0,0,33.69790014,-3.26949691,0,17,0,1,9,0,5,1,4,4,2,1,5,3,3
107,0.0,0,31.767300899999995,-3.0251057,4,4,0,1,7,1,5,1,4,4,2,1,0,3,1
108,50.0,1428,35.63048144,-7.71054858,6,3,1,1,7,1,3,0,4,5,2,0,6,1,1
110,0.0,1295,36.90832887,-3.33074309,5,0,120,1,7,1,3,0,4,6,1,2,4,1,1
111,0.0,1207,36.87553547,-3.3445666,5,0,120,1,7,1,3,0,4,6,2,1,4,1,3
112,0.0,0,31.48904738,-3.26790435,3,4,0,1,7,1,5,1,4,2,3,1,5,3,3
113,0.0,0,33.23267014,-9.26648533,1,10,0,0,7,0,5,0,4,3,2,3,4,1,3
114,0.0,0,36.55702857,-6.37279744,8,2,0,1,7,1,5,0,4,5,2,1,6,1,1
115,0.0,0,31.66327256,-1.08048548,4,4,0,1,7,1,5,0,4,3,2,2,6,1,1
116,0.0,445,37.48747402,-6.82950072,8,11,90,1,7,1,5,1,4,2,2,1,5,3,3
117,0.0,1191,33.35647131,-2.06349369,4,9,804,0,3,0,3,0,2,6,2,0,3,1,1
119,50.0,1348,37.02381013,-5.5923447,5,8,1,1,7,1,3,5,4,5,4,2,0,1,1
120,100.0,2073,34.22303933,-9.344921300000001,1,3,0,1,7,0,3,0,4,1,2,1,6,1,1
121,0.0,0,31.57239755,-1.42926609,4,4,0,1,7,1,5,3,4,2,2,1,5,5,3
122,0.0,0,31.4647567,-2.77016894,3,4,0,1,7,1,5,0,4,2,2,1,0,1,1
125,0.0,0,32.071081,-5.06726885,3,19,0,0,7,1,5,3,4,2,2,0,0,3,1
127,500.0,2050,34.64835709,-9.31731152,6,3,305,1,8,1,3,0,4,1,2,1,6,1,3
130,0.0,0,31.6012707,-2.93012242,3,4,0,1,7,1,5,1,4,2,2,1,5,3,3
131,20.0,976,36.84150658,-3.49366766,5,0,150,1,7,1,5,0,4,5,2,2,6,1,3
132,0.0,0,33.86126585,-8.68481006,6,10,0,1,8,0,5,0,4,2,2,3,4,1,3
134,0.0,1282,38.32726235,-4.4646702000000005,5,20,1,1,7,1,3,0,4,2,2,1,6,1,3
135,0.0,2050,34.68859705,-9.69622598,1,3,50,1,7,0,3,0,4,3,2,1,6,1,3
136,0.0,0,32.41352249,-9.09504292,2,10,0,1,7,0,5,1,4,2,2,3,5,3,1
137,30.0,11,39.88898115,-10.13363156,7,7,1,0,7,0,3,1,4,5,2,2,5,3,1
138,0.0,0,31.19411613,-3.06136744,3,4,0,1,7,1,5,1,4,2,2,1,5,3,3
139,0.0,0,31.64732214,-2.78450823,4,4,0,1,7,1,5,0,4,2,2,1,3,1,3
140,0.0,0,33.86084491,-9.59608383,1,10,0,1,11,1,5,0,0,2,2,0,4,1,1
141,20.0,471,37.82346185,-6.771698700000001,8,11,150,1,7,1,3,0,4,1,2,1,4,1,3
142,0.0,0,32.78502522,-5.41803094,3,19,0,1,7,1,5,1,4,2,2,0,5,3,1
143,0.0,385,37.44310991,-6.29976667,8,11,1,1,7,1,1,5,4,6,2,2,0,1,3
144,0.0,350,37.88687839,-6.86199999,8,11,1,1,7,1,1,0,4,2,5,0,0,1,1
146,0.0,0,31.65326799,-1.59857903,4,4,0,1,7,1,5,0,4,2,2,1,6,4,2
147,2000.0,1603,34.98887131,-8.91132497,6,3,40,1,7,0,4,4,4,3,2,1,0,3,3
149,0.0,0,34.35839958,-8.69424705,6,10,0,0,10,1,5,0,4,2,0,3,4,1,3
151,0.0,0,33.78421925,-8.77994557,6,10,0,1,8,1,5,0,4,2,0,3,4,1,3
152,0.0,-15,39.52711433,-6.98874758,8,1,50,1,7,0,1,2,4,2,4,0,0,5,1
154,0.0,1595,29.80857829,-4.46052001,3,5,590,1,11,0,5,3,4,2,2,1,6,5,3
155,400.0,531,37.41877342,-10.91557638,7,16,1,0,7,0,3,1,4,1,2,1,0,3,1
156,0.0,0,33.54480544,-8.928838699999998,6,10,0,1,7,1,5,0,4,3,2,2,4,1,3
158,0.0,0,34.08915375,-3.12214007,4,17,0,1,9,0,5,1,4,4,2,1,5,3,3
159,0.0,101,39.55938321,-9.70159734,7,7,1,0,7,0,4,1,4,2,2,1,0,3,3
160,1000.0,1562,34.94546531,-8.86866011,6,3,250,1,7,0,3,1,4,3,2,1,0,3,3
161,0.0,1481,32.06591365,-8.68875072,2,15,450,1,7,0,2,3,4,2,2,1,0,5,1
162,500.0,1445,34.68050209,-8.84136926,6,3,80,1,8,1,1,0,4,1,2,1,4,1,3
163,1200.0,1242,30.26413388,-4.52564753,3,5,560,1,11,1,1,0,4,0,2,1,4,1,3
164,0.0,0,33.16358148,-2.54645921,4,13,0,1,7,1,5,1,4,2,4,1,0,3,3
165,0.0,1231,35.0800974,-5.32212056,0,18,2500,1,7,0,3,2,4,6,2,1,0,1,3
166,0.0,0,33.43789893,-4.42476057,0,19,0,1,4,0,5,5,0,2,4,1,0,5,3
167,0.0,1076,30.90475149,-5.10070113,3,5,1050,1,7,1,4,3,4,6,2,1,5,5,1
168,0.0,0,0.0,-2e-08,4,17,0,0,3,0,5,0,2,4,2,3,3,1,3
169,20.0,262,39.08229758,-10.9753631,7,12,36,1,7,1,3,0,4,5,2,3,6,1,3
170,0.0,935,35.98642477,-10.73055089,7,16,540,1,7,1,2,0,4,3,2,3,4,1,3
171,0.0,823,31.779907799999997,-7.80637606,2,15,300,1,7,1,1,0,4,2,2,0,4,1,1
172,40.0,217,38.33493265,-6.45446888,8,14,12,1,8,1,4,5,0,5,2,1,4,1,3
174,300.0,665,36.70991445,-6.64260892,8,11,632,1,7,1,5,3,4,1,4,2,5,5,1
175,500.0,1783,31.52365762,-8.17864388,3,15,50,1,7,1,1,0,4,3,2,1,4,1,3
176,0.0,961,35.7005422,-3.81945703,0,8,245,1,7,1,4,1,4,2,1,1,5,3,3
178,0.0,0,33.20344175,-9.07440778,2,10,0,0,7,0,5,1,4,3,2,3,5,3,3
179,0.0,183,38.76743559,-5.17227682,5,20,600,1,7,0,3,0,4,2,2,3,6,1,1
180,1000.0,1592,35.63419525,-7.85014451,6,3,1,1,7,1,2,0,4,1,2,1,6,1,3
181,0.0,-21,39.67094346,-7.90660636,6,14,32,1,7,0,5,5,4,2,2,1,0,1,3
182,0.0,1589,36.8272342,-3.18469585,0,0,120,1,7,1,3,0,4,6,2,1,6,1,3
183,0.0,1485,32.06802448,-8.68938706,2,15,59,1,7,0,2,1,4,2,2,1,0,3,1
184,0.0,-16,39.8543204,-7.78306327,6,14,230,1,7,0,5,1,4,2,4,1,5,3,3
185,0.0,1823,35.76391894,-8.08918663,6,3,1,1,7,1,3,1,4,2,2,1,0,3,3
186,0.0,0,33.01476219,-8.43639754,2,10,0,1,7,1,5,1,4,5,2,1,5,3,1
187,0.0,0,31.51225219,-1.13959123,4,4,0,1,7,1,5,1,4,2,2,2,5,3,3
188,0.0,0,33.72402918,-8.93211477,6,10,0,0,7,0,5,0,4,3,2,1,4,1,2
189,0.0,0,33.85161987,-8.82993517,6,10,0,1,8,1,5,0,4,1,2,2,4,1,3
191,0.0,1705,34.95840922,-8.51078169,6,3,0,1,7,1,3,1,4,2,2,1,5,3,3
192,1000.0,1712,35.2725042,-8.19550192,6,3,0,1,7,1,5,1,4,0,2,1,5,3,3
193,30.0,128,38.34276796,-6.60873088,8,14,50,1,8,1,4,5,4,5,2,1,4,1,1
194,25000.0,1768,34.71600987,-9.12973959,6,3,25,1,8,1,2,0,4,1,2,1,4,1,3
195,50.0,232,39.77883219,-10.60671713,7,12,150,1,7,1,4,2,4,5,2,1,0,1,3
196,1500.0,1567,37.89233459,-4.36699297,5,6,500,1,11,1,1,0,4,0,2,2,6,1,3
197,0.0,1607,37.59718978,-3.08465534,5,6,1,1,0,1,0,0,0,1,2,2,6,1,1
198,50.0,1135,33.50998861,-2.15235319,4,9,100,1,7,1,1,0,2,5,2,1,4,1,1
199,0.0,0,33.78466711,-3.72624692,0,17,0,0,3,0,5,0,2,6,2,3,3,1,2
200,0.0,0,30.75176889,-2.54922891,4,4,0,1,7,0,5,0,4,2,2,1,6,1,3
202,500.0,1768,34.89930829,-9.20451104,6,3,40,1,7,0,4,4,4,1,2,1,0,3,3
203,500.0,1593,34.920323100000005,-8.83707693,6,3,40,1,7,0,3,1,4,3,2,1,0,3,3
204,0.0,0,30.49985221,-2.5554992999999997,4,4,0,1,7,0,5,0,4,2,0,2,6,5,2
205,0.0,0,31.77582328,-1.33162743,4,4,0,1,7,0,5,0,4,2,5,0,6,4,1
206,0.0,0,32.85025146,-9.01509636,2,10,0,1,7,0,5,0,4,3,2,1,6,5,3
207,0.0,1315,36.78231907,-3.36937009,5,0,400,1,8,0,4,0,4,6,2,2,3,1,3
208,10.0,205,38.23544422,-6.63641192,8,14,100,1,7,1,2,5,4,5,2,1,1,1,1
209,10.0,1685,35.88015611,-3.25083059,0,0,200,1,7,1,3,0,4,5,2,1,4,1,3
210,0.0,1397,34.5688417,-8.91716508,6,3,20,1,8,1,1,0,4,3,2,0,4,5,1
211,0.0,0,33.82643865,-9.52747959,1,10,0,1,7,1,5,0,4,2,2,0,6,1,1
212,0.0,1232,30.35823687,-5.56948805,3,15,100,1,11,1,2,3,0,2,2,1,0,3,1
213,0.0,0,33.24244114,-9.31914172,1,10,0,1,7,0,5,0,4,6,5,0,4,1,1
214,1000.0,1055,37.82287905,-4.14888473,5,6,450,1,11,1,4,0,4,1,2,2,6,1,2
215,0.0,0,33.93868915,-9.61165417,1,10,0,1,7,1,5,0,4,2,2,0,6,1,1
216,0.0,744,37.35509612,-3.40154092,5,6,1,1,11,1,1,0,0,1,2,2,6,1,2
217,0.0,0,33.10016187,-3.81255032,4,17,0,1,9,1,5,1,4,2,2,3,5,3,3
218,500.0,1897,36.65057433,-3.2526794,5,0,150,1,7,1,3,0,4,3,2,1,6,1,3
219,0.0,0,33.10623082,-9.03216574,2,10,0,1,7,0,5,1,4,3,2,1,5,3,2
221,0.0,1661,37.95878138,-4.43495404,5,6,140,1,11,1,3,0,4,2,2,2,6,1,2
222,0.0,1297,36.97044487,-3.34985393,5,0,90,1,7,1,3,0,4,6,2,2,4,1,1
223,750.0,1071,29.88356158,-4.59970578,3,5,570,1,11,1,3,0,0,1,2,2,4,1,3
224,0.0,120,38.93735313,-6.70497547,8,14,1,1,7,1,2,2,4,2,2,2,4,1,1
225,0.0,1201,33.35805782,-2.07269915,4,9,1,0,3,0,3,0,2,6,2,3,3,1,3
226,0.0,966,37.08879175,-6.01081035,8,11,700,1,7,1,5,1,4,2,2,1,5,3,3
228,0.0,0,32.16614798,-3.64794666,3,17,0,1,3,1,5,1,2,6,2,3,3,3,3
230,20.0,0,38.4687019,-5.13246175,5,20,120,1,7,1,5,1,4,5,2,2,5,3,3
231,0.0,1281,33.00023911,-2.07363796,4,13,350,1,7,1,2,3,4,2,2,2,4,1,1
233,10.0,508,39.33063258,-10.99280378,7,12,630,1,7,0,3,0,4,5,2,2,6,1,1
234,0.0,1556,35.53081946,-4.50268446,0,8,270,1,7,1,3,0,4,2,2,0,6,1,1
235,0.0,0,33.333789,-8.95920754,2,10,0,1,7,1,5,0,4,3,2,0,4,1,1
236,0.0,0,33.2773436,-4.20136566,0,19,0,1,7,0,5,3,4,3,2,3,5,5,1
237,500.0,373,37.50789059,-6.26635194,8,11,1,1,7,1,3,0,4,1,2,1,4,1,2
238,0.0,0,33.0591187,-8.568394699999999,2,10,0,1,7,1,5,0,4,1,2,1,6,1,2
239,0.0,102,38.97388970000001,-5.12551864,5,20,100,1,7,1,5,1,4,2,2,1,5,3,1
240,50.0,1261,36.83283068,-6.09538776,8,11,250,1,7,1,3,5,4,5,2,1,0,1,1
241,0.0,0,31.73311371,-2.47636967,4,4,0,1,7,1,5,3,4,5,2,2,5,5,1
242,0.0,0,35.62759083,-6.03113722,0,2,0,1,7,0,5,2,0,5,2,0,0,1,1
243,0.0,0,39.09126059,-4.9549518,5,20,200,1,7,1,3,1,4,6,2,3,5,3,1
244,2000.0,1007,35.06153079,-7.91507677,6,3,1,1,7,1,2,0,4,0,2,1,6,1,3
245,0.0,0,31.80083428,-1.31490138,4,4,0,1,7,0,5,0,4,2,2,2,3,1,1
246,2000.0,1114,35.87761667,-7.42197042,6,3,1,1,7,1,5,0,4,0,2,1,6,1,3
247,0.0,165,38.70152604,-5.13617489,5,20,1000,1,7,0,3,0,4,2,2,2,6,1,3
248,6.0,1421,37.43964118,-3.31993627,5,6,30,1,10,1,3,0,4,5,2,1,6,1,3
249,0.0,-19,39.24417821,-7.36829284,6,14,500,1,7,0,3,1,4,2,2,0,5,3,1
250,500.0,1244,34.63225535,-8.72031632,6,3,55,1,8,1,3,0,4,1,2,3,4,1,3
251,100.0,357,38.79470824,-10.57239234,7,12,1700,1,7,1,1,2,4,5,4,1,0,1,3
252,0.0,1612,37.5816604,-3.2649629,5,6,1,1,8,1,0,0,4,2,2,2,6,1,1
254,5000.0,1790,34.3039125,-9.504312599999999,1,3,0,1,7,0,3,0,4,0,2,1,6,1,3
256,0.0,0,0.0,-2e-08,4,13,0,1,7,1,5,1,4,2,5,0,0,3,1
258,1000.0,1591,35.62422947,-7.86001982,6,3,1,1,7,1,2,0,4,1,2,1,6,1,3
260,0.0,0,31.45223354,-1.29523982,4,4,0,1,7,1,5,3,4,2,2,2,5,5,1
261,0.0,844,35.06630886,-5.85530454,0,18,250,1,7,0,1,2,4,2,2,1,0,1,1
262,0.0,0,35.63768716,-6.32118,0,2,0,1,7,0,5,2,4,5,2,0,0,1,1
263,0.0,0,33.0849318,-3.75139073,4,17,0,1,9,1,5,3,4,2,2,3,5,5,1
264,0.0,0,35.91196769,-5.79362559,8,2,0,1,7,1,5,0,4,2,2,1,6,1,3
265,0.0,1257,36.76604605,-3.39285751,5,0,210,1,7,1,4,0,4,6,2,1,6,1,1
266,250.0,1572,30.12658076,-4.43681809,3,5,320,1,11,1,3,0,4,1,2,1,6,4,2
268,0.0,0,33.30381177,-8.95958218,2,10,0,1,7,1,5,0,4,3,2,1,4,1,3
269,100.0,338,38.80660601,-10.56479172,7,12,2530,1,7,1,1,2,4,5,4,1,0,1,3
271,0.0,0,32.74750562,-5.630633,3,19,0,0,7,1,5,3,4,2,2,0,5,3,1
272,0.0,0,32.71120577,-8.81026548,2,10,0,0,7,0,5,1,4,2,2,1,0,3,3
273,0.0,0,33.06037263,-3.83408324,0,17,0,1,9,1,5,1,4,2,2,2,5,3,3
274,0.0,1286,30.536514299999997,-3.79134872,3,5,450,1,7,0,2,0,4,6,2,1,4,1,3
276,0.0,326,36.36552941,-8.77905499,6,11,1,1,10,1,5,0,4,2,2,1,4,1,3
277,0.0,0,39.11013687,-4.75461109,5,20,1,1,7,1,0,3,4,2,4,0,2,5,1
278,0.0,1445,37.67816216,-3.69879186,5,6,80,1,7,0,1,0,4,2,2,2,6,1,3
279,0.0,1886,31.35287524,-7.68709583,2,15,1,0,7,0,2,5,4,2,5,1,4,1,2
280,250.0,1343,30.01709818,-4.33258278,3,5,50,1,11,1,2,0,4,1,2,2,4,1,3
281,0.0,1499,30.70845573,-3.59108444,3,5,450,1,7,0,4,0,4,6,2,2,3,1,3
282,0.0,0,33.83495799,-3.76408399,0,17,0,1,7,1,5,0,4,5,2,1,4,1,3
283,0.0,1564,36.65864318,-3.3307891000000005,5,0,150,1,7,1,3,0,4,2,2,2,6,1,1
284,500.0,991,30.39148972,-5.10506992,3,5,150,0,7,1,5,0,4,1,2,2,4,1,2
286,0.0,1415,37.29307888,-3.2217387000000004,5,6,1,0,7,1,1,0,4,2,2,1,6,5,1
287,0.0,0,33.99969741,-3.56849388,0,17,0,1,9,0,5,1,4,4,2,1,5,3,3
288,500.0,1822,31.53969095,-7.90807484,3,15,0,1,7,1,5,1,4,1,2,3,0,3,3
289,0.0,1349,30.74937852,-3.41197674,3,5,500,1,7,0,3,1,4,6,2,1,0,3,1
290,0.0,524,37.59776312,-6.89558991,8,11,450,1,7,1,1,0,4,2,2,2,4,1,1
291,0.0,1542,34.84539417,-4.26244399,0,18,230,1,7,1,5,1,4,2,2,1,5,3,1
292,0.0,1491,36.90794506,-3.17881406,0,0,96,1,7,1,3,0,4,6,2,2,6,1,3
293,10.0,1602,35.73363834,-3.30450464,0,0,150,1,7,1,5,0,4,5,2,1,4,1,3
294,0.0,991,37.37037474,-3.30815036,5,6,100,1,7,0,0,0,4,6,2,1,6,1,3
295,0.0,0,35.86593887,-5.97347421,8,2,0,1,7,0,5,2,4,5,2,2,0,1,3
296,0.0,201,39.73445071,-10.84665973,7,12,1,1,10,1,2,5,4,2,2,0,0,1,1
298,0.0,0,32.6262126,-9.24781007,2,10,0,1,7,0,5,1,4,3,2,2,5,3,1
299,0.0,334,38.69103275,-10.87666127,7,12,36,1,7,1,1,1,4,2,4,0,5,3,1
300,0.0,0,30.51219714,-2.50530793,4,4,0,1,7,0,5,0,4,2,2,1,6,5,3
301,0.0,0,0.0,-2e-08,4,13,0,1,7,1,5,1,4,2,2,2,0,3,3
302,0.0,0,33.02122705,-3.74548548,4,17,0,1,9,1,5,1,4,2,2,0,5,3,3
303,0.0,0,33.76897675,-9.57524712,1,10,0,1,11,1,5,0,0,2,2,0,6,1,1
304,0.0,0,33.43091711,-4.38908379,0,19,0,1,11,0,5,5,4,2,4,1,0,1,3
305,0.0,0,31.87632762,-3.15255484,3,4,0,1,7,1,5,1,4,2,2,1,5,3,1
306,0.0,0,0.0,-2e-08,4,13,0,1,7,1,5,1,4,2,2,2,0,3,3
308,0.0,1773,35.25506862,-4.30052711,0,8,150,1,7,1,4,0,4,2,2,1,4,1,2
309,0.0,-25,39.68832862,-7.9593708,6,14,50,1,7,0,5,1,4,2,2,1,5,3,1
310,0.0,828,36.03263045,-10.53104474,6,16,900,1,7,1,4,0,2,2,2,0,4,1,1
311,0.0,0,33.61237059,-8.87481184,6,10,0,1,7,1,5,0,4,0,2,0,4,1,1
312,0.0,0,33.8783666,-9.63286017,1,10,0,1,7,1,5,0,4,2,2,0,6,1,1
314,0.0,290,38.86287361,-7.16541013,8,14,500,1,4,0,5,1,0,2,2,0,0,3,1
315,0.0,1230,30.474380699999998,-3.59878746,3,5,350,1,7,0,5,1,4,6,2,1,0,3,1
